Yahoo Kürzel,Unternehmen
2GB.DE,2 GB Ernergy
UUU.DE,3 U Holding
3W9K.DE,3W Power
HRPK.DE,7C Solarparken
ADN1.DE,Adesso AG
ADV.DE,ADVA Optical Networking
VSJ.DE,Advanced Vision Technology
A62.DU,Advantag AG
AGY1.SG,Ago Energie+Anlagen
AU2.F,Agrarius
AGR.MU,Agrob Immobilien ST
AGR3.MU,Agrob Immobilien VZ
AAH.F,Ahlers ST
AAH3.F,Ahlers VZ
AB1.DE,Air Berlin
AIR.DE,Airbus Group
AIXA.DE,Aixtron
ABA.DE,Alba
ALG.DE,Albis Leasing
ALX.F,Alexanderwerk AG
A1OS.DE,All for One Steeb
ALV.DE,Allianz
ANO.DE,Alno
ATF.DE,Alphaform
AOX.DE,Alstria Office REIT
AAD.DE,Amadeus Fire
A8A.DE,Aragon
A6T.DE,Artec Technologies
ART.DE,Artnet
ACWN.DE,AS Création
5AB.DE,Asian Bamboo
A5A.F,Asknet
AUS.DE,AT & S
CMBT.F,Atevia
AOF.DE,Atoss Software
NSU.F,Audi
AR4.DE,Aurelius
NDA.DE,Aurubis
AW2.F,AutoBank
AV7.DE,AVW Immobilien
SPR.DE,Axel Springer
DTD2.DE,B+S Banksysteme
BWB.DE,Baader Bank
BAF.DE,Balda
BAS.DE,BASF
BSL.DE,Basler
BST.DE,Bastei Lübbe
B5A.DE,Bauer
B8A.DE,Bavaria Industries Group
BAYN.DE,Bayer
BYW.DE,BayWa NA
BYW6.DE,BayWa vink. NA
BBZA.DE,BB Biotech
D7I.F,BDI-BioEnergy
USE.DE,Beate Uhse
BC8.DE,Bechtle
BEI.DE,Beiersdorf
BEON.DE,Beko Holding
BEZ3.DE,Berentzen VZ
BFV.DE,Berliner Effekten.
B5SK.DE,Berliner Synchron
MBH3.F,Berthold Hermle
BDT.DE,Bertrandt
ACX.DE,bet-at-home.com
BSS.F,Beta Systems
BFC.DE,BF Holding
B9B.F,BHB Brauholding
HUL.F,BHS tabletop
BIJ.DE,Bijou Brigitte
